sample	reason(s)	avg_depth	rHetHom	call_rate	nSingletons	CHARR
gonl-1b	high_rHetHom	16.8	8.66667	0.999058	0	nan
gonl-2b	high_rHetHom	16.8	8	0.999155	0	nan
gonl-3b	low_cov	12	0.125	0.998479	0	nan
gonl-5b	high_rHetHom	16.4	6.25	0.9993	0	nan
gonl-6b	low_cov;high_rHetHom	13.2	4.66667	0.998938	1	nan
gonl-7b	high_rHetHom	17.8	8.25	0.999179	1	nan
gonl-8b	low_cov;high_rHetHom	11.7	24	0.998213	0	nan
gonl-9b	low_cov	11.2	NA	0.998455	0	nan
gonl-10b	low_cov	14.5	2.5	0.998986	0	nan
gonl-11b	low_cov	7.6	NA	0.997054	0	nan
gonl-12b	low_cov;high_rHetHom	11.6	5	0.998744	0	nan
gonl-13b	high_rHetHom	15.2	10	0.999155	1	nan
gonl-15b	low_cov	14.2	2.66667	0.998986	0	nan
gonl-16b	high_rHetHom	15.4	3.8	0.999058	1	nan
gonl-18b	low_cov;high_rHetHom	11.7	5	0.998551	0	nan
gonl-20b	low_cov;high_rHetHom	14	3.5	0.999131	0	nan
gonl-21b	low_cov;high_rHetHom	13.7	5	0.999034	0	nan
gonl-22b	high_rHetHom	16.4	9.66667	0.999372	0	nan
gonl-23b	low_cov	13.4	NA	0.999034	1	nan
gonl-24b	low_cov	10.6	NA	0.998044	0	nan
gonl-25b	low_cov;high_rHetHom	12.6	12.5	0.998624	0	nan
gonl-26b	low_cov	11.8	0	0.998696	0	nan
gonl-28b	low_cov;high_rHetHom	14.6	3.5	0.999082	0	nan
gonl-29b	low_cov	10.9	NA	0.998382	0	nan
gonl-31b	low_cov	11.4	NA	0.998334	0	nan
gonl-32b	high_rHetHom	15.2	4	0.999203	0	nan
gonl-33b	low_cov;high_rHetHom	12.5	4.66667	0.998841	0	nan
gonl-34b	low_cov;high_rHetHom	11.3	4.5	0.998551	0	nan
gonl-35b	low_cov	11.3	NA	0.998406	0	nan
gonl-36b	high_rHetHom	17.5	11	0.9993	0	nan
gonl-38b	low_cov	14.6	NA	0.998962	0	nan
gonl-39b	low_cov	11.7	NA	0.998817	0	nan
gonl-40b	low_cov	13.3	0	0.998769	0	nan
gonl-42b	low_cov	12.6	NA	0.99872	0	nan
gonl-43b	low_cov	14.8	NA	0.999276	0	nan
gonl-44b	high_rHetHom	19.8	8	0.999421	0	nan
gonl-45b	low_cov	10.7	1	0.99802	0	nan
gonl-46b	low_cov;high_rHetHom	14.1	7.66667	0.998744	0	nan
gonl-47b	low_cov;high_rHetHom	11.6	14	0.998455	1	nan
gonl-48b	low_cov	10.5	0.142857	0.998141	0	nan
gonl-50b	low_cov;high_rHetHom	11.8	4.66667	0.998744	0	nan
gonl-52b	low_cov	12.4	0.2	0.998479	0	nan
gonl-53b	low_cov	14	0.333333	0.999082	0	nan
gonl-54b	high_rHetHom	16.7	5.8	0.999251	0	nan
gonl-55b	low_cov;high_rHetHom	13.9	3.75	0.999203	0	nan
gonl-56b	low_cov	10.1	0.142857	0.997924	0	nan
gonl-57b	low_cov;high_rHetHom	12.8	5.75	0.998769	0	nan
gonl-58b	low_cov;high_rHetHom	11.4	9	0.998286	0	nan
gonl-60b	low_cov	13.1	3.25	0.998841	0	nan
gonl-61b	low_cov;high_rHetHom	12.3	3.33333	0.998696	1	nan
gonl-62b	low_cov	11.6	1.66667	0.9986	0	nan
gonl-63b	low_cov	13.8	2.14286	0.998889	1	nan
gonl-64b	low_cov	13.9	1.55556	0.999058	0	nan
gonl-65b	low_cov	10.9	NA	0.998382	0	nan
gonl-66b	low_cov	11.6	0.428571	0.998551	0	nan
gonl-67b	low_cov	11	NA	0.998382	1	nan
gonl-68b	low_cov	13.1	2.4	0.998841	0	nan
gonl-69b	low_cov	12.1	0.272727	0.998769	0	nan
gonl-70b	low_cov;high_rHetHom	13.8	3.66667	0.998841	0	nan
gonl-71b	low_cov	13.7	2.5	0.999034	0	nan
gonl-72b	low_cov;high_rHetHom	13.2	5.75	0.998479	0	nan
gonl-73b	high_rHetHom	17.9	5.6	0.999082	0	nan
gonl-74b	low_cov;high_rHetHom	13	6	0.998962	0	nan
gonl-76b	low_cov	12.3	NA	0.998938	0	nan
gonl-78b	high_rHetHom	17.3	11.5	0.999203	0	nan
gonl-79b	high_rHetHom	15.2	6.5	0.998962	0	nan
gonl-80b	low_cov;high_rHetHom	12.1	7.5	0.9986	1	nan
gonl-81b	high_rHetHom	15.6	9	0.999203	1	nan
gonl-82b	high_rHetHom	16.3	26	0.998962	0	nan
gonl-85b	low_cov;high_rHetHom	13.4	3.75	0.99901	0	nan
gonl-86b	low_cov	14.9	NA	0.999034	0	nan
gonl-88b	low_cov	14.3	NA	0.998769	0	nan
gonl-90b	low_cov	13.2	NA	0.99901	0	nan
gonl-92b	low_cov	11	1.75	0.998527	0	nan
gonl-93b	low_cov	13.8	0.181818	0.999131	0	nan
gonl-94b	low_cov	10.1	0.2	0.998068	0	nan
gonl-95b	high_rHetHom	17.6	3.625	0.999421	0	nan
gonl-97b	low_cov	12.5	0	0.998889	0	nan
gonl-98b	low_cov	12	2.4	0.998817	0	nan
gonl-99b	low_cov	13.9	NA	0.999107	0	nan
gonl-100b	low_cov	14.7	0.3	0.999058	1	nan
gonl-101b	low_cov;high_rHetHom	12	4.5	0.998503	0	nan
gonl-102b	low_cov;high_rHetHom	10.7	3.33333	0.998237	0	nan
gonl-103b	low_cov	13.3	1.625	0.998624	0	nan
gonl-104b	low_cov	14	2.8	0.999131	0	nan
gonl-105b	low_cov	12.5	0	0.998648	0	nan
gonl-106b	low_cov	12.5	0.1	0.998817	1	nan
gonl-108b	low_cov	12.5	0	0.998793	0	nan
gonl-109b	high_rHetHom	15.2	5.25	0.999396	1	nan
gonl-110b	low_cov	14.3	NA	0.99901	0	nan
gonl-111b	low_cov;high_rHetHom	14.7	6.5	0.999227	0	nan
gonl-112b	low_cov	12.8	0.166667	0.998817	0	nan
gonl-113b	low_cov	14.3	2.4	0.9993	0	nan
gonl-115b	low_cov	10.5	NA	0.998286	0	nan
gonl-116b	low_cov;high_rHetHom	12.1	5.33333	0.998744	0	nan
gonl-117b	low_cov	14.1	NA	0.998986	0	nan
gonl-118b	low_cov	11	NA	0.998093	0	nan
gonl-119b	low_cov	11.9	0.333333	0.998769	0	nan
gonl-120b	low_cov	13.8	1.71429	0.998889	0	nan
gonl-122b	low_cov;high_rHetHom	13.9	6.5	0.998962	0	nan
gonl-123b	low_cov;high_rHetHom	11.2	5.5	0.998358	0	nan
gonl-124b	low_cov	14.3	NA	0.999421	0	nan
gonl-125b	low_cov	13.5	2.6	0.99901	0	nan
gonl-126b	low_cov;high_rHetHom	14.6	5	0.999082	0	nan
gonl-127b	low_cov	12	NA	0.998575	0	nan
gonl-128b	low_cov	11.9	0.111111	0.998527	0	nan
gonl-129b	low_cov;high_rHetHom	13.3	5	0.998913	0	nan
gonl-130b	low_cov	14.2	0.111111	0.998938	0	nan
gonl-131b	low_cov	13	2.75	0.998503	0	nan
gonl-134b	high_rHetHom	16.5	14	0.999227	1	nan
gonl-136b	low_cov	13.5	0.444444	0.99901	1	nan
gonl-137b	low_cov	13.8	0.125	0.998962	0	nan
gonl-138b	low_cov	13	0.090909	0.998962	0	nan
gonl-139b	low_cov;high_rHetHom	11	6	0.99831	0	nan
gonl-141b	high_rHetHom	15.4	5.33333	0.999131	0	nan
gonl-142b	low_cov	12.9	2.8	0.999034	0	nan
gonl-143b	low_cov	14.7	0	0.999203	0	nan
gonl-144b	high_rHetHom	17.6	8	0.999396	0	nan
gonl-145b	low_cov	11.8	NA	0.998406	1	nan
gonl-146b	low_cov	13.8	0.285714	0.999058	0	nan
gonl-147b	low_cov	12.2	1.83333	0.998455	1	nan
gonl-148b	low_cov	10.1	NA	0.997972	0	nan
gonl-149b	low_cov;high_rHetHom	14.4	3.5	0.999251	0	nan
gonl-150b	high_rHetHom	15.1	6.75	0.998986	1	nan
gonl-151b	low_cov	11.9	NA	0.998334	0	nan
gonl-152b	low_cov	11.4	1.8	0.998189	0	nan
gonl-153b	low_cov	12.8	NA	0.998817	0	nan
gonl-154b	low_cov;high_rHetHom	12.6	4	0.998889	0	nan
gonl-155b	low_cov	14.2	3.2	0.999179	0	nan
gonl-156b	high_rHetHom	16.5	9	0.999058	0	nan
gonl-157b	low_cov	14.5	0.375	0.999107	0	nan
gonl-158b	low_cov	11.6	NA	0.998479	0	nan
gonl-160b	low_cov	11.9	NA	0.998793	0	nan
gonl-161b	high_rHetHom	17.7	4.8	0.999251	0	nan
gonl-162b	low_cov	12.2	0	0.998793	0	nan
gonl-163b	low_cov	13.9	1.41667	0.998986	0	nan
gonl-164b	low_cov;high_rHetHom	14	14.5	0.998938	0	nan
gonl-165b	low_cov	14	NA	0.999082	0	nan
gonl-166b	low_cov	12.6	3	0.998769	0	nan
gonl-167b	low_cov;high_rHetHom	12.9	6.33333	0.998938	0	nan
gonl-168b	low_cov	12	NA	0.998648	0	nan
gonl-169b	low_cov;high_rHetHom	14.2	4.33333	0.998527	0	nan
gonl-170b	high_rHetHom	16.7	7.5	0.999203	1	nan
gonl-171b	low_cov	11.7	NA	0.998479	0	nan
gonl-172b	high_rHetHom	19.9	7.5	0.999348	0	nan
